qid,query,query_nmt,query_llm
11,Bagaimana hukum melakukan sholat dengan memakai pakaian najis dalam keadaan lupa? ,ما حكم أداء الصلاة مع ارتداء ملابس نجسة ونسيانها؟,ما حكم الصلاة في ثوب نجس حال النسيان؟
12,"Pak Imam merupakan salah seorang yang sangat berhati-hati dalam menjaga kesucian pakaiannya dalam sholat. Suatu ketika, ia melakukan sholat dzuhur, namun ia lupa bahwa pakaian yang dikenakannya sudah terkena kotoran burung saat ia berada dalam perjalanan menuju rumah.  Sahkah sholat yang dilakukan oleh Pak Imam?",السيد إمام رجلٌ حريصٌ جدًا على طهارة ثيابه أثناء الصلاة. في إحدى المرات، كان يؤدي صلاة الظهر، لكنه نسي أن ثيابه قد تلطخت بفضلات الطيور في طريق عودته إلى المنزل. هل كانت صلاة السيد إمام صحيحة؟,باك إمام من الأشخاص الذين يحتاطون جدا في الحفاظ على طهارة ثيابهم في الصلاة. ذات مرة، صلى الظهر، ولكنه نسي أن الثوب الذي يلبسه قد أصابه ذرق الطيور عندما كان في طريقه إلى البيت. فهل تصح الصلاة التي صلاها باك إمام؟
13,Tata cara mensucikan najis (air seni) yang telah kering,إجراءات تنقية البراز المجفف (البول),كيفية تطهير النجاسة (البول) التي قد جفت
14,Bagaiamana cara mensucikan najis berupa air seni yang telah mengering di lantai?,كيف يتم تنقية البول غير النظيف الذي جف على الأرض؟,كيف تطهر النجاسة التي هي بول قد جف على الأرض؟
15,Nabila merupakan seorang pecinta kucing. Kecintaannya terhadap kucing membuatnya memelihara beberapa kucing yang diletakkan di salah satu ruangan di rumahnya. Ruangan tersebut tentunya tidak bisa terhindarkan dari bekas air seni kucing yang telah mengering. Bagaimana cara mensucikan air seni kucing yang telah mengering tersebut?,نبيلة عاشقة للقطط. دفعها حبها للقطط إلى تربية عدة قطط في غرفة واحدة من منزلها. هذه الغرفة ملطخة حتماً ببقع بول القطط الجاف. كيف يمكن تنظيف بول القطط الجاف؟,نبيلة محبة للقطط. حبها للقطط جعلها تربي بعض القطط التي وضعت في إحدى الغرف في بيتها. هذه الغرفة بالطبع لا تخلو من أثر بول القطط الذي قد جف. كيف يطهر بول القطط الذي قد جف المذكور؟
16,Kewajiban mengingatkan seseorang yang pakaiannya terkena najis,واجب تذكير شخص ما بأن ملابسه متسخة,وجوب إعلام من أصاب ثوبه نجاسة
17,"Bagaiamana hukum mengingatkan seseorang yang hendak melaksanakan sholat, sedang pakaiannya terkena najis?",ما هو الحكم القانوني بشأن تذكير شخص على وشك أداء الصلاة وثيابه غير نظيفة؟,ما حكم إعلام شخص يريد أن يصلي، وثوبه متنجس؟
18,"Suatu ketka, saat Mas Agil ingin melaksanakan sholat jamaah di Masjid, ia mengetahui ada najis yang menempel di pakaian salah satu seseorang yang sedang sholat. Apa yang harus dilakukan Mas Agil apabila ia mengetahui ada najis yang menempel di pakaian seseorang yang sedang sholat?",في إحدى المرات، عندما أراد السيد أغيل أداء صلاة الجماعة في المسجد، لاحظ وجود اتساخ عالق بثياب أحد المصلين. ماذا ينبغي على السيد أغيل أن يفعل إذا وجد اتساخًا عالقًا بثياب أحد المصلين؟,ذات مرة، عندما أراد ماس آكيل أن يصلي في جماعة في المسجد، علم أن هناك نجاسة لاصقة بثوب شخص يصلي. ماذا يجب على ماس آكيل أن يفعل إذا علم أن هناك نجاسة لاصقة بثوب شخص يصلي؟
19,Kesunahan membaca doa qunut di dalam sholat subuh,من السنة قراءة صلاة القنوت في صلاة الصبح,سنية قراءة القنوت في صلاة الصبح
20,Apa hukum membaca doa qunut di dalam sholat subuh?,ما هو حكم تلاوة صلاة القنوت أثناء صلاة الفجر؟,ما حكم قراءة القنوت في صلاة الصبح؟
21,"Kevin merupakan seorang mualaf yang baru saja masuk Islam 2 bulan lalu. Ia belum banyak mengetahui mengenai kesunnahan yang ada di dalam sholat. Saat melakukan jamaah sholat subuh, ia bingung dan bertanya-tanya karena ada salah satu doa yang dipanjatkan di tengah-tengah sholat yang setelah ia cari tahu nama dari doa tersebut adalah doa Qunut. Apa hukum membaca doa Qunut dalam sholat subuh tersebut?",كيفن مسلم جديد اعتنق الإسلام قبل شهرين. لا يعرف الكثير عن سنة الصلاة. أثناء أدائه صلاة الفجر جماعةً، شعر بالحيرة والتساؤل حيال دعاءٍ يُتلى فيها. بعد مزيد من البحث، اكتشف أنه يُسمى دعاء القنوت. ما حكم دعاء القنوت في صلاة الفجر؟,كيفين مؤلف قلبه أسلم حديثا منذ شهرين. لم يعرف الكثير عن السنن التي في الصلاة. عند أداء صلاة الصبح في جماعة، تحير وتساءل لأن هناك دعاء يقرأ في أثناء الصلاة والذي بعد أن بحث عن اسمه وجد أنه دعاء القنوت. ما حكم قراءة القنوت في صلاة الصبح المذكورة؟
22,Solusi bagi makmum ketika lupa membaca surah al-Fatihah dalam sholat berjamaah,حل لمشكلة الجماعات التي تنسى قراءة سورة الفاتحة أثناء صلاة الجماعة,تدارك المأموم عند نسيان قراءة الفاتحة في صلاة الجماعة
23,Apa yang harus dilakukan makmum ketika lupa membaca surah al-Fatihah dalam sholat berjamaah?,ماذا ينبغي على المصلين فعله إذا نسوا قراءة سورة الفاتحة أثناء صلاة الجماعة؟,ماذا يجب على المأموم إذا نسي قراءة الفاتحة في صلاة الجماعة؟
24,"Suatu ketika, kang Hanif sedang melakukan sholat isya' berjamaah bersama temannya di kamar. Sangking merdunya bacaan surah yang dilafadzkan oleh temannya, kang Hanif sampai lupa bahwa ia belum membaca surah al-Fatihah di rakaat pertama. Apa yang harus dilakukan kang Hanif?",في أحد الأيام، كان حنيف يصلي العشاء جماعةً مع صديقه في غرفته. انبهر حنيف بصوت صديقه وهو يقرأ، حتى نسي أنه لم يقرأ الفاتحة في الركعة الأولى. ماذا ينبغي على حنيف أن يفعل؟,ذات مرة، كان كانج حنيف يصلي العشاء في جماعة مع صديقه في الغرفة. لشدة حسن قراءة السورة التي يلفظها صديقه، نسي كانج حنيف أنه لم يقرأ الفاتحة في الركعة الأولى. ماذا يجب على كانج حنيف أن يفعل؟
25,Hukum melakukan sunnah ab'ad yang terlupakan setelah terlanjur melakukan rukun sholat,حكم أداء السنة الآباد التي تُنسى بعد أداء أركان الصلاة,حكم العود إلى سنة الأبعاض المتروكة بعد التلبس بفرض
26,"Bagaimana hukum kembali melakukan tasyahud awal yang terlupakan, setelah terlanjur berdiri pada rakaat ketiga?",ما هو الحكم في العودة إلى أداء التشهد الأول المنسي، بعد الوقوف بالفعل في الركعة الثالثة؟,ما حكم العود إلى التشهد الأول المتروك بعد الانتصاب للركعة الثالثة؟
27,"Suatu ketika, saat mas Baihaqy sedang melakukan sholat Isya', ia lupa melakukan duduk tasyahud awal. Ia teringat ketika sudah sempurna melakukan berdiri pada rakaat ketiga, seketika ia duduk kembali ke posisi tasyahud awal untuk memenuhi apa yang ia tinggalkan tadi. Apa tindakan yang dilakukan oleh mas Baihaqy, seperti kembali duduk tasyahud awal setelah sempurna berdiri tersebut diperbolehkan? ",في إحدى المرات، بينما كان ماس بيهقي يؤدي صلاة العشاء، نسي أن يجلس التشهد الأول. تذكر أنه بعد أن أنهى قيامه في الركعة الثالثة، جلس فورًا إلى وضعية التشهد الأولى ليكمل ما توقف عنه. فهل يجوز فعل ماس بيهقي هذا، أي العودة إلى وضعية التشهد الأولى بعد أن قام تمامًا؟,ذات مرة، عندما كان ماس بيهقي يصلي العشاء، نسي الجلوس للتشهد الأول. تذكر بعد أن انتصب قائما للركعة الثالثة، فجلس فورا ليعود إلى وضع التشهد الأول لتدارك ما تركه. ما حكم الفعل الذي قام به ماس بيهقي، كالعود إلى جلوس التشهد الأول بعد الانتصاب قائما، هل يجوز؟
28,Kesunnahan adzan pada selain sholat fardhu,سنة الأذان للصلاة في غير الصلوات المفروضة,سنية الأذان في غير الصلوات المكتوبة
29,Apakah hukum melakukan adzan pada selain sholat lima waktu? ,ما هو حكم رفع الأذان في أوقات أخرى غير الصلوات الخمس اليومية؟,ما حكم الأذان لغير الصلوات الخمس؟
30,"Pak Yono merupakan seseorang yang awam dalam pengetahuan agama.  Ketika anak pertamanya lahir, ia melakukan adzan dan iqomah kepada anaknya dengan meniru sinetron yang sering ia tonton di televisi tanpa mengerti apa hukum dari melakukan adzan tersebut. Apa hukum melakukan adzan kepada anak yang baru lahir tersebut?",السيد يونو شخص غير متخصص في العلوم الدينية. عندما وُلد طفله الأول، أذان له وأقام عليه الصلاة، مقلداً ما كان يشاهده في المسلسلات التلفزيونية، دون أن يفهم الحكم الشرعي للأذان. ما هو الحكم الشرعي في أذان المولود الجديد؟,باك يونو شخص عامي في المعرفة الدينية. عندما ولد طفله الأول، أذن وأقام لطفله مقلدا المسلسلات التي يشاهدها غالبا على التلفاز دون أن يعرف ما حكم هذا الأذان. ما حكم الأذان للمولود الجديد المذكور؟
31,Keafdholan melakukan sholat berjamaah di masjid bagi laki-laki,فضل أداء صلاة الجماعة في المسجد للرجال,أفضلية صلاة الجماعة في المسجد للرجال
32,Apakah melakukan sholat berjamaah di masjid lebih utama dibandingkan di rumah bagi seorang laki-laki?,هل أداء صلاة الجماعة في المسجد أهم من أدائها في المنزل بالنسبة للرجل؟,هل صلاة الجماعة في المسجد أفضل منها في البيت للرجل؟
33,"Kang Ghufron merupakan seseorang yang sering melakukan sholat berjamaah. Namun, ia tidak selalu melakukannya di masjid, terkadang ia juga melakukan sholat berjamaah di rumahnya, terkadang juga di tempat kerjanya. Manakah sholat berjamaah yang lebih utama dilakukan oleh Kang Ghufron?",يؤدي كانغ غفرون صلاة الجماعة بانتظام. مع ذلك، لا يؤديها دائمًا في المسجد؛ فهو يصلي أحيانًا في المنزل، وأحيانًا في العمل. ما نوع صلاة الجماعة الذي يفضله كانغ غفرون؟,كانج غفران شخص يصلي الجماعة غالبا. لكنه لا يصليها دائما في المسجد، أحيانا يصلي الجماعة في بيته، وأحيانا في مكان عمله. فأي صلاة جماعة أفضل لكانج غفران أن يصليها؟
34,Ketidak bolehan mengikuti imam yang ummi,لا يجوز اتباع إمام غير متعلم,عدم جواز الاقتداء بالأمي
35,Apakah seseorang yang bacaan al-fatihahnya baik diperbolehkan mengikuti seorang imam yang bacaan al-fatihahnya buruk? ,هل يجوز لمن يجيد قراءة الفاتحة أن يتبع إماماً يسيء قراءة الفاتحة؟,هل يجوز للقارئ أن يقتدي بإمام قراءته للفاتحة سيئة؟
36,"Kang Ilham merupakan seorang santri yang telah belajar di pondok pesantren al-Qur'an bertahun-tahun, sehingga bacaan al-Qur'annya sudah sangat baik (fasih). Saat ia ingin melakukan sholat maghrib berjamaah di mushola kampungnya, ia mendapati bahwa bacaan al-fatihah imam masih banyak kesalahan dalam pengucapannya. Bolehkah Kang Ilham mengikuti sholat maghrib berjamaah bersama imam tersebut?",كانغ إلهام طالبٌ يدرس في مدرسة داخلية إسلامية لتعليم القرآن الكريم منذ سنوات، لذا فإنّ تلاوته للقرآن الكريم جيدةٌ جدًا. عندما أراد أداء صلاة المغرب جماعةً في مصلى قريته، لاحظ أن تلاوة الإمام لسورة الفاتحة لا تزال بها أخطاءٌ كثيرة في النطق. هل يستطيع كانغ إلهام أن يُصلي المغرب جماعةً مع الإمام؟,كانج إلهام طالب علم قد تعلم في معهد القرآن الكريم لسنوات عديدة، حتى صارت قراءته للقرآن جيدة جدا (فصيحة). عندما أراد أن يصلي المغرب في جماعة في مصلى قريته، وجد أن قراءة الإمام للفاتحة لا يزال فيها أخطاء كثيرة في اللفظ. فهل يجوز لكانج إلهام أن يقتدي في صلاة المغرب جماعة مع هذا الإمام؟
37,Kebolehan mufaroqoh dari jamaah sholat jumat pada rakaat kedua,جواز المفرقعة من جماعة صلاة الجمعة في الركعة الثانية,جواز المفارقة من جماعة صلاة الجمعة في الركعة الثانية
38,Apakah memisahkan diri dari sholat jamaah jumat di rakaat kedua diperbolehkan?,هل يجوز الانفصال عن صلاة الجمعة في الركعة الثانية؟,هل تجوز المفارقة من صلاة الجمعة في جماعة في الركعة الثانية؟
39,"Pak Sugito sedang melakukan jamaah sholat jumat. Saat imam memasuki rakaat kedua, Pak Sugito merasakan perutnya sangat mulas, sehingga menyebabkan ia memisahkan diri dari jamaah sholat jumaat dengan menyempurnakan rakaat keduanya sendiri tanpa mengikuti imam. Apakah yang dilakukan Pak Sugito tersebut diperbolehkan?",كان السيد سوجيتو يؤمّ المصلين في صلاة الجمعة. عندما دخل الإمام في الركعة الثانية، شعر بألم حاد في معدته، مما دفعه إلى الانفصال عن المصلين وإتمام الركعة الثانية بنفسه دون اتباع الإمام. هل ما فعله السيد سوجيتو جائز؟,باك سوكيتو يصلي الجمعة في جماعة. عندما دخل الإمام في الركعة الثانية، شعر باك سوكيتو بمغص شديد في بطنه، مما جعله يفارق جماعة صلاة الجمعة بإتمام ركعته الثانية بنفسه دون الاقتداء بالإمام. فهل ما فعله باك سوكيتو جائز؟
40,Kesunnahan imam/khatib ta'khir pada sholat Jumat,سنة الإمام/الخطيب أن يختم بصلاة الجمعة,سنية تأخير الإمام أو الخطيب في صلاة الجمعة
41,Bagaimana hukum mengakhirkan kedatangan bagi imam/khatib dalam pelaksanaan sholat Jumat ?,ما هو الحكم القانوني بشأن منع وصول الإمام/الخطيب أثناء صلاة الجمعة؟,ما حكم تأخير حضور الإمام أو الخطيب في إقامة صلاة الجمعة؟
42,"Pak Aziz merupakan imam sekalius khatib sholat Jumat di salah satu masjid di Wonosobo. Dalam pelaksanaanya, beliau selalu datang paling akhir, tepatnya setelah adzan pertama dikumandangkan. Apa hukum tindakan yang dilakukan oleh pak Aziz tersebut?",السيد عزيز هو إمام وخطيب صلاة الجمعة في مسجد بمدينة وونوسوبو. يصل دائمًا في آخر المسجد، مباشرةً بعد الأذان. ما هو الأساس القانوني لتصرفات السيد عزيز؟,باك عزيز إمام وخطيب لصلاة الجمعة في أحد المساجد في وونوسوبو. في إقامتها، كان دائما يأتي آخرا، وتحديدا بعد رفع الأذان الأول. ما حكم الفعل الذي قام به باك عزيز؟
43,Keharaman mengkijing/ membangun bangunan permanen di atas kuburan,حظر بناء هيكل دائم على قبر,حرمة البناء على القبر
44,Bagaimana hukum mengkijing/ membangun bangunan permanen di atas kuburan?,ما هو القانون المتعلق ببناء هيكل دائم على قبر؟,ما حكم البناء على القبر؟
45,"Pak Gatot adalah seseorang yang baru saja ditinggal mati istrinya. Dalam proses pemakamannya, Pak Gatot berencana mengkijing/ membangun bangunan permanen di atas kuburan istrinya tanpa ada kebutuhan apa pun. Padahal, tanah yang digunakan adalah tanah wakaf yang tidak hanya digunakan oleh dirinya sendiri, tapi juga digunakan untuk pemakaman umum. Bolehkah mengkijing/ membangun bangunan permanen di atas kuburan?",السيد جاتوت رجل توفيت زوجته مؤخرًا. ويعتزم، خلال الجنازة، بناء هيكل دائم فوق قبرها دون أي حاجة إليه. في الواقع، الأرض التي يستخدمها هي أرض وقفية، وهي ليست ملكًا له وحده، بل تُستخدم أيضًا كمقبرة عامة. فهل يجوز بناء هيكل دائم فوق قبر؟,باك جاتوت شخص ماتت زوجته حديثا. في عملية دفنها، يخطط باك جاتوت للبناء على قبر زوجته من غير حاجة. والحال أن الأرض المستخدمة هي أرض موقوفة لا تستخدم لنفسه فقط، بل تستخدم أيضا للمقبرة العامة. هل يجوز البناء على القبر؟
46,Kesunnahan melakukan ziarah kubur bagi laki-laki,زيارة القبور من السنة للرجال,سنية زيارة القبور للرجال
47,Apa hukum melakukan ziarah kubur bagi laki-laki?,ما هو الحكم في زيارة الرجال للقبور؟,ما حكم زيارة القبور للرجال؟
48,"Kang Ihsan merupakan anak yang saleh. Ia selalu mendoakan kedua orang tuanya setiap setelah melakukan sholat lima waktu, pun dalam seminggu sekali ia juga sering menziarahi makam bapaknya yang telah meninggal. Apa hukum melakukan ziarah seperti yang dilakukan Kang Ihsan tersebut?",كانغ إحسان طفلٌ صالح. فهو يدعو لوالديه بعد كل خمس صلوات يومية، كما يزور قبر والده المتوفى مرة في الأسبوع. ما هو حكم الحج الذي قام به كانغ إحسان؟,كانج إحسان ولد صالح. كان دائما يدعو لوالديه بعد أداء الصلوات الخمس، وفي كل أسبوع مرة يزور غالبا قبر أبيه الميت. ما حكم الزيارة التي قام بها كانج إحسان المذكورة؟
49,Keharaman ta'khir membayar zakat fitrah di hari raya Idul Fitri tanpa adanya uzur,النهي النهائي عن دفع زكاة الفطر في عيد الفطر بدون عذر,حرمة تأخير زكاة الفطر يوم عيد الفطر بلا عذر
50,Apakah diperbolehkah mengakhirkan membayar zakat fitrah tanpa adanya halangan?,هل يجوز التوقف عن دفع زكاة الفطر دون أي عوائق؟,هل يجوز تأخير زكاة الفطر بلا عذر؟
51,"Pak Sukandar merupakah salah seorang muslim yang terbilang sangat mampu dalam segi ekonomi. Suatu saat, ia sengaja mengakhirkan membayar zakat fitrah tanpa adanya suatu halangan apapun seperti kendala ekonomi maupun tidak adanya seseorang yang berhak menerima zakat tersebut. Apa hukum tindakan mengakhirkan zakat yang dilakukan oleh Pak Sukandar?",السيد سوكاندار مسلمٌ يُعتبر ذا كفاءةٍ عاليةٍ في الشؤون المالية. في إحدى المرات، امتنع عمداً عن دفع زكاة الفطر دون أي عوائق، كضيق الحال أو عدم وجود مستحقٍ لها. ما الإجراء القانوني المُتخذ ضد السيد سوكاندار في حال امتناعه عن دفع الزكاة؟,باك سوكاندار مسلم يعتبر غنيا جدا من الناحية الاقتصادية. ذات مرة، تعمد تأخير زكاة الفطر بلا عذر مثل المانع الاقتصادي أو عدم وجود المستحقين للزكاة المذكورة. ما حكم تأخير الزكاة الذي قام به باك سوكاندار؟
52,Memakai gamis saat ihram,ارتداء العباءة أثناء الإحرام,لبس القميص في الإحرام
53,Apa denda bagi orang yang melakukan perbuatan yang diharamkan ketika haji?,ما هي الغرامة المفروضة على الأشخاص الذين يرتكبون أفعالاً محظورة أثناء الحج؟,ما الفدية على من ارتكب محرمات الحج؟
54,"Rehan sedang melaksanakan ibadah haji, namun ditengah pelaksanaan ibadah haji, ia kehilangan pakaian ihramnya dan tidak menemukan apapun selain pakaian yang berjahit, apakah ia terkena sanksi?",كان ريحان يؤدي فريضة الحج، ولكن في منتصف الحج، فقد ملابس الإحرام الخاصة به ولم يجد شيئاً سوى ملابس بها غرز، فهل هو عرضة للعقوبات؟,ريهان يؤدي فريضة الحج، ولكن في وسط أداء الحج فقد ثوبي إحرامه ولم يجد شيئا سوى ثياب مخيطة، فهل تلزمه فدية؟
55,Syarat-syarat penerima zakat,شروط مستحقي الزكاة,شروط مستحقي الزكاة
56,Apa hukum memberikan zakat kepada orang kafir?,ما هو حكم إعطاء الزكاة للكافرين؟,ما حكم دفع الزكاة إلى الكافر؟
57,"Fikri adalah panitia penerima dan penyalur zakat di desanya, suatu hari ia memberikan zakat kepada seorang fakir yang dikemudian hari diketahui masih memiliki anak yang mampu menafkahinya, apakah penyaluran zakat tersebut sudah sah?",فكري عضو في لجنة جمع وتوزيع الزكاة في قريته. في أحد الأيام، أعطى زكاةً لرجل فقير، ثم علم لاحقًا أن لديه أبناءً قادرين على إعالته. هل توزيع الزكاة صحيح؟,فيكري هو عامل الزكاة وموزعها في قريته، في يوم من الأيام دفع الزكاة إلى فقير علم فيما بعد أن له ولدا قادرا على نفقته، فهل دفع الزكاة المذكور صحيح؟
58,Barang belum diterima sudah dijual kembali,تم إعادة بيع المنتجات التي لم يتم استلامها,بيع المبيع قبل قبضه
59,kapan pembeli dianggap menerima rumah yang ia beli?,متى يُعتبر المشتري قد قبل المنزل الذي اشتراه؟,متى يعتبر المشتري قابضا للدار التي اشتراها؟
60,"Diyah membeli telur sebanyak 1 kg untuk keperluan membuat roti, saat penjual menyerahkan telur yang berada di kresek, penjual tidak sengaja menjatuhkannya sebelum Diyah benar-benar menerimanya, dalam kondisi seperti itu siapa yang menanggung kerugiannya?  ",اشترت دياه كيلوغرامًا واحدًا من البيض لصنع الخبز. عندما سلمها البائع البيض في كيس بلاستيكي، أسقطه البائع سهوًا قبل أن تستلمه دياه. في مثل هذه الحالة، من يتحمل الخسارة؟,ديياه تشتري بيضا بمقدار ١ كغم لحاجة صنع الخبز، وعندما سلم البائع البيض الذي في الكيس، أسقطه البائع بغير قصد قبل أن تقبضه ديياه حقيقة، في مثل هذه الحالة على من يكون الضمان؟
61,Kewajiban orang yang ghasab,التزامات الشخص المفقود,ما يلزم الغاصب
62,hukum menggunakan barang orang lain tanpa izin,القانون المتعلق باستخدام ممتلكات الآخرين دون إذن,حكم الانتفاع بمال الغير بغير إذن
63,"Di dalam kereta api jarak jauh, seorang penumpang ilegal yang tidak memiliki tiket tempat duduk, mengusir penumpang yang sudah duduk sesuai nomor kursinya lalu mengambil alih kursinya, apa status perbuatan yang dilakukannya? ",في قطار للمسافات الطويلة، يقوم راكب غير شرعي لا يحمل تذكرة مقعد، بإبعاد الركاب الجالسين بالفعل وفقاً لأرقام مقاعدهم، ثم يستولي على مقاعدهم، فما هو وضع الفعل الذي ارتكبه؟,في قطار المسافات الطويلة، راكب غير شرعي لا يملك تذكرة مقعد، أقام راكبا قد جلس وفق رقم مقعده ثم غصب مقعده، ما حكم الفعل الذي قام به؟
64,Penetapan awal bulan ramadhan ,تحديد بداية شهر رمضان,ثبوت هلال رمضان
65,Kapan pertama kali puasa ramadhan diwajibkan dalam Islam?,متى كانت المرة الأولى التي أصبح فيها صيام رمضان واجباً في الإسلام؟,متى فرض صوم رمضان لأول مرة في الإسلام؟
66,"Para ahli astronomi di Cina - yang mayoritas beragama non muslim- mengaku telah melihat bulan baru, kabar tersebut dengan cepat tersebar kepada penduduk Cina yang beragama Islam, dapatkah informasi tersebut dijadikan dasar penetapan awal bulan?",ادعى علماء الفلك في الصين - ومعظمهم من غير المسلمين - أنهم رأوا الهلال الجديد، وسرعان ما انتشر الخبر بين السكان المسلمين في الصين، فهل يمكن استخدام هذه المعلومات كأساس لتحديد بداية الشهر؟,علماء الفلك في تشينا - وأغلبهم كفار - يزعمون أنهم رأوا الهلال، وانتشر هذا الخبر بسرعة إلى سكان تشينا المسلمين، فهل يمكن جعل هذه الأخبار أساسا لثبوت الهلال؟
67,Syarat wajib puasa,الشروط الواجبة للصيام,شروط وجوب الصوم
68,Mengapa wanita yang sedang haid atau nifas dilarang untuk berpuasa?,لماذا يُمنع النساء في فترة الحيض أو النفاس من الصيام؟,لماذا يحرم الصوم على الحائض والنفساء؟
69,"Seorang Muslim makan sahur dengan tujuan agar kuat berpuasa, namun ia lupa melintaskan niat puasa wajib di hatinya, apakah puasanya sah?",إذا تناول المسلم وجبة السحور بهدف الحصول على القوة للصيام، ولكنه نسي أن يعبّر عن نية الصيام في قلبه، فهل صومه صحيح؟,مسلم يتسحر بقصد التقوي على الصوم، ولكنه نسي أن ينوي صوم الفرض في قلبه، فهل صومه صحيح؟
70, syarat barang yang sah disewakan,شروط تأجير السلع بشكل قانوني,شروط العين المستأجرة
71,Bolehkah menyewa seseorang hanya untuk menawarkan barang dagangan?,هل من المقبول توظيف شخص ما لمجرد عرض البضائع؟,هل تجوز إجارة شخص لمجرد عرض السلع التجارية؟
