qid,query,total_relevant,found,missing,success_rate,best_rank,worst_rank
18,مسلم يتسحر وهو يريد ان يقوا علا صيام، كنه ينسا ان ينقل نية صيام اجب في قلبه. فهل صيام صحيح؟,1,0,1,0.0,N/A,N/A
19,شروط تاجير ضايع قانونيا,1,0,1,0.0,N/A,N/A
20,هل من مقبول استيجار شخص فقط عرض ضايع؟,1,1,0,100.0,3,3
21,طلب من احد Langgaran kiai مساعد في عمل عقد زواج من خلال توج زوج محتمل تلاو قبول زواج اللغ عربية. بعد اتمام عقد، طلب هذا شخص مبلغا معي من مال مقابل هذه خدمة. وما حكم اخذ اجر في هذه حالة؟,1,0,1,0.0,N/A,N/A
22,دوار حرك اثناء صيام,1,0,1,0.0,N/A,N/A
23,هل احتلام يفطر صيام؟,1,1,0,100.0,1,1
24,انه كان لا يزال متزوجا حديثا، لم يستطع ماس جيكو ان يمنع نفس من استمرار في تقبيل زوجت اثناء صيام في شهر رمض حتا خرج سايل منو منه. فهل ما زال صوم صحيحا؟,1,0,1,0.0,N/A,N/A
25,عناصر تي لا يمكن اعارت,1,1,0,100.0,222,222
26,ما هي مسوول مقترض عند تلف سلع مقترضة؟,1,1,0,100.0,17,17
27,دا دونو اخو متباعد جدا في عمر، حاليا تبلغ دا 28 عاما ينما لا يزال دونو يبلغ من عمر 8 سنوات. في احد ايام، طلبت دا من شقيق اصغر، دونو، استعار اميرا من عمهما. تمكن دونو من حصول علا اميرا من عمه. وفي طريق عودت سقطت اميرا تضررت. في مثل هذه ظروف من مسوول عن ضرر؟,1,0,1,0.0,N/A,N/A
28,بيع الشراء اتفاق مرح,1,1,0,100.0,17,17
29,ماذا لا بد من عقد في بيع الشراء؟,1,1,0,100.0,101,101
30,تطبق مدرس Harapan Bangsa متوسط مفهوم Honesty Canteen تشكيل شخص طلاب الا افراد صادقين. يوفر هذا مقصف جميع احتياج طلاب اسعار موضح وضوح في قايمة. يقوم طلاب بساط وضع مبلغ من مال يساو قيم عناصر مشترا في مساح متوفرة. هذا شرط يثير مخاوف حول ما اذا كان بيع الشراء ذي يقوم به مشروعا، مع انه لا يوجد اتفاق او قبول يه؟,1,0,1,0.0,N/A,N/A
31,بيع سماد,1,1,0,100.0,10,10
32,ما حكم شراء ضاع لم يرا مشتر من قبل؟,1,1,0,100.0,174,174
33,مزارع شاب يبيع محصول من حبوب هوا جمع. فهو يعرض فقط بعض حبوب مثال اقناع مشتر جودتها، ينما تبقا قية حبوب في اكياس مغلق احكام. وفي هذه حال هل يصح بيع الشراء؟,1,0,1,0.0,N/A,N/A
34,دي لفجور,1,0,1,0.0,N/A,N/A
35,ايهما اهم اداء دين ام صدقة؟,1,0,1,0.0,N/A,N/A
36,فقط اطلق علي توني، فهو تاجر ناجح ديه خبر بير في بيع شراء عقارات. في احد ايام، اصبح لدا تون صديق قديم يحب لعب ماكين قمار او مقامر عبر انترنت، يدعا جوكو. تم كشف بعد ذلك عن هدف جوكو وهو دين قيم 15 مليو وعد سداد بعد اسبوع. هل يستطيع تون اعطاء دين جوكو عندما يك هناك احتمال بير بان جوكو لن يدفعه؟,1,0,1,0.0,N/A,N/A
37,رهن ضايع مقترض,1,1,0,100.0,5,5
38,هل يمكن لوالد رهن ممتلك طفلهما؟,1,1,0,100.0,7,7
39,نظرا لان نمو سك كان سريعا جدا، ارادت احدا قرا تجديد مسجد الا طابقين، وهو ما سيكلف ثير اذا حسبته. بعد مداولة، يتم اخذ هذه تكاليف من خز مسجد ومن تبرع مجتمع. صرف نظر عن ذلك، انت هناك رغب في رهن حقول ارز قفي تكاليف تجديد اضافية. هل هذا اجراء مسموح به؟,1,0,1,0.0,N/A,N/A
40,تسليم تطبيق,1,0,1,0.0,N/A,N/A
41,هل يجوز قبول هدايا من اشخاص ذين انقذناهم؟,1,1,0,100.0,91,91
42,تقدم راف خطب امرا احب حقا. نوع من جديته، قام تسليم 10 ملاي روب هدايا اخرا متنوع زوجت مستقبل عن طريق ولي امره. لكن علا راف ان يتقبل اقع مرير، فحب راف من طرف احد. اتضح ان زوجت مستقبل دي الفعل مرشح اكثر ملاءم في رايه. هل يحق رافع ان يطلب اموال الهدايا تي قدمها؟,1,0,1,0.0,N/A,N/A
43,صيت طفل صغير,1,0,1,0.0,N/A,N/A
44,ما هو حد اقصا لوصية؟,1,1,0,100.0,374,374
45,حسن رجل اعمال لوجب سريع يع من مرض خطير. اصول حوال 15 مليار. اراد ان يتبرع بعض ثروت بناء مسجد في قريته. سلم حسن في صيت 7.5 مليار تسليم لمسجد. هل يمكن تنفيذ صية هذه ام ان هناك قيود معينة؟,1,0,1,0.0,N/A,N/A
46,نظر الا عور مرا تي لم تبلغ بعد,1,1,0,100.0,1,1
47,هل يعتبر صوت مرا حميميا؟,1,1,0,100.0,4,4
48,كان رحمت يحضر حفل يمة خاص اخيه، عندما جلس الخطا امام تاة اجنبية. شعر ان هناك رصة انه نظر الا هذه تاة مرارا تكرارا، علا رغم من عدم جود حاج ملح رويتها. في ظل هذه ظروف، ما هو وضع قان اراء رحمت؟,1,0,1,0.0,N/A,N/A
49,ولا يذكر مهر اثناء مراسم زواج,1,1,0,100.0,25,25
50,ماذا لو قلت اسم زوجتك مستقبل شكل خاط اثناء حفل زواج؟,1,1,0,100.0,0,0
51,تزوج هارتونو من ليم حضور ولي امر شاهدين، لكن بعد عقد زواج اعترف ليم انه لم يكمل ترة عدة من زواج سابق. ما هو وضع عقد زواج هارتونو؟,1,0,1,0.0,N/A,N/A
